City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,Palmas Bellas,9.2319,-80.0867,89.02,73,35,7.14,PA,2022-05-12 14:40:46
133,Sayat,38.7839,63.8803,84.07,17,59,12.17,TM,2022-05-12 14:40:47
134,Timra,62.487,17.3257,55.08,54,75,18.41,SE,2022-05-12 14:40:48
135,Altay,47.8667,88.1167,53.85,36,0,6.53,CN,2022-05-12 14:40:48
136,Beremend,45.7911,18.4326,88.45,40,10,2.68,HU,2022-05-12 14:40:49
137,Tazovskiy,67.4667,78.7,33.91,100,100,6.58,RU,2022-05-12 14:40:50
138,Batsfjord,70.6345,29.7185,40.93,75,75,16.11,NO,2022-05-12 14:40:50
139,Sao Filipe,14.8961,-24.4956,75.83,71,20,13.02,CV,2022-05-12 14:41:51
140,Skibbereen,51.55,-9.2667,56.1,70,79,19.46,IE,2022-05-12 14:41:52
141,Santa Isabel Do Rio Negro,-0.4139,-65.0192,87.31,63,35,4.88,BR,2022-05-12 14:41:52
142,Zambezi,-13.5432,23.1047,80.22,44,6,4.16,ZM,2022-05-12 14:41:53
143,Bathsheba,13.2167,-59.5167,86.61,66,20,20.71,BB,2022-05-12 14:41:53
144,Semirom,31.4167,51.5667,62.01,21,0,6.53,IR,2022-05-12 14:41:54
145,Villaviciosa,43.4813,-5.4357,63.61,83,100,5.21,ES,2022-05-12 14:41:54
146,Road Town,18.4167,-64.6167,82.49,78,40,29.08,VG,2022-05-12 14:41:55
147,Birin,26.8865,88.0718,62.85,86,50,4.9,NP,2022-05-12 14:41:56
148,Sao Borja,-28.6606,-56.0044,64.94,65,0,5.99,BR,2022-05-12 14:38:30
149,Bulungu,-4.55,18.6,86.85,59,45,0.69,CD,2022-05-12 14:41:57
150,Inirida,3.8653,-67.9239,87.51,65,77,1.05,CO,2022-05-12 14:41:57
151,Saint-Pierre,-21.3393,55.4781,76.68,69,40,9.22,RE,2022-05-12 14:41:58
152,Tambacounda,13.7539,-13.7586,107.11,11,8,4.92,SN,2022-05-12 14:41:59
153,Georgetown,5.4112,100.3354,85.98,83,20,3.44,MY,2022-05-12 14:42:00
154,Novoagansk,61.9449,76.6625,58.53,42,72,4.41,RU,2022-05-12 14:42:01
155,Iquique,-20.2208,-70.1431,62.64,68,3,5.1,CL,2022-05-12 14:42:02
156,Codrington,-38.2667,141.9667,56.25,90,92,4.25,AU,2022-05-12 14:42:02
157,San Borja,-14.8167,-66.85,76.59,68,86,4.27,BO,2022-05-12 14:42:03
158,Lodja,-3.4833,23.4333,85.51,59,67,2.75,CD,2022-05-12 14:42:05
159,Mahibadhoo,3.7833,72.9667,83.55,79,97,18.86,MV,2022-05-12 14:42:06
160,Manzil Salim,35.8567,8.4765,74.88,22,0,2.89,TN,2022-05-12 14:42:07
161,Rivera,-30.9053,-55.5508,58.89,67,1,6.26,UY,2022-05-12 14:42:07
162,Dingle,10.9995,122.6711,79.63,82,98,5.57,PH,2022-05-12 14:42:08
163,Sorland,67.667,12.6934,46.26,93,100,4.61,NO,2022-05-12 14:42:09
164,Walcz,53.2779,16.4712,62.64,49,97,12.8,PL,2022-05-12 14:42:10
165,Fairhope,30.523,-87.9033,86.22,60,0,5.01,US,2022-05-12 14:42:10
166,Lomme,50.6436,2.9872,68.9,44,0,14.97,FR,2022-05-12 14:42:11
167,Oxford,51.7522,-1.256,64.06,51,75,14.97,GB,2022-05-12 14:42:12
168,Mahebourg,-20.4081,57.7,75.49,88,40,2.3,MU,2022-05-12 14:42:12
169,Jogindarnagar,31.9833,76.7667,74.14,47,37,10.71,IN,2022-05-12 14:42:13
170,Les Cayes,18.2,-73.75,83.17,64,78,11.54,HT,2022-05-12 14:42:14
171,Chicama,-7.8447,-79.1469,63.14,77,95,6.38,PE,2022-05-12 14:42:15
172,Severnyy,50.677,36.5532,75.24,25,0,13.42,RU,2022-05-12 14:42:15
173,Sysert,56.4953,60.8192,60.78,55,100,3.8,RU,2022-05-12 14:42:16
174,Ginir,7.1333,40.7,69.67,49,39,7.16,ET,2022-05-12 14:42:17
175,Batya,46.488,18.9542,82.02,42,8,4.76,HU,2022-05-12 14:42:17
176,Necochea,-38.5473,-58.7368,56.08,58,87,11.3,AR,2022-05-12 14:42:18
177,Malard,35.6659,50.9767,77.18,16,20,18.41,IR,2022-05-12 14:42:19
178,Wawina,15.4167,-84.4333,81.18,74,65,5.99,HN,2022-05-12 14:42:20
