City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Medea,DZ,36.2642,2.7539,82.22,28,56,2.24,broken clouds
305,Treinta Y Tres,UY,-33.2333,-54.3833,62.91,73,3,6.2,clear sky
306,Maceio,BR,-9.6658,-35.7353,78.24,94,75,5.75,mist
307,Vawkavysk,BY,53.1561,24.4513,57.61,66,83,18.19,broken clouds
308,Geraldton,AU,-28.7667,114.6,61.21,82,40,5.75,scattered clouds
309,Dudinka,RU,69.4058,86.1778,34.47,100,100,4.59,overcast clouds
310,Mahanoro,MG,-19.9,48.8,73.56,69,4,4.85,clear sky
311,Ermelo,ZA,-26.5333,29.9833,69.17,26,92,6.08,overcast clouds
312,Bukama,CD,-9.2,25.85,88.03,33,8,4.54,clear sky
313,Westport,US,41.1415,-73.3579,73.44,92,100,0.0,mist
314,Ventspils,LV,57.3894,21.5606,51.73,87,0,10.36,clear sky
315,Muzhi,RU,65.3667,64.6667,51.67,92,100,6.13,heavy intensity rain
316,Mpulungu,ZM,-8.7623,31.1141,79.95,56,16,3.13,few clouds
317,Villingen-Schwenningen,DE,48.0667,8.45,74.59,48,32,6.8,scattered clouds
318,Japura,ID,-0.3167,102.35,77.79,94,31,3.33,scattered clouds
319,Killybegs,IE,54.6333,-8.45,60.51,65,100,5.06,overcast clouds
320,Shelburne,CA,44.0787,-80.2041,72.36,64,0,7.45,clear sky
321,Conceicao Da Barra,BR,-18.5933,-39.7322,79.52,65,100,9.4,overcast clouds
322,Mamallapuram,IN,12.6264,80.1722,86.05,74,100,16.82,overcast clouds
323,Ponta Delgada,PT,37.7333,-25.6667,69.49,68,20,18.41,few clouds
324,Mecca,SA,21.4267,39.8261,102.99,16,0,17.96,clear sky
325,Mariel,CU,22.9875,-82.7536,77.14,61,0,6.67,clear sky
326,Senekal,ZA,-28.3197,27.6208,70.3,20,66,14.16,broken clouds
327,Balkhash,KZ,46.844,74.9804,63.41,64,74,6.38,broken clouds
328,Albany,US,42.6001,-73.9662,73.27,76,58,1.92,broken clouds
329,Canakkale,TR,40.0833,26.8333,68.58,59,87,5.17,overcast clouds
330,Mattru,SL,7.6244,-11.8332,95.4,47,63,2.24,broken clouds
331,Sens,FR,48.1667,3.3333,70.3,53,95,5.19,overcast clouds
332,Tabuk,PH,17.4189,121.4443,73.63,94,100,3.4,overcast clouds
333,Saint-Francois,FR,46.4154,3.9054,81.68,39,0,3.44,clear sky
334,Caravelas,BR,-17.7125,-39.2481,76.64,84,100,9.66,overcast clouds
335,Dirba,IN,30.0667,75.9833,104.81,4,0,7.83,clear sky
336,El Porvenir,HN,13.7617,-87.3458,69.13,41,39,1.25,scattered clouds
337,Osakarovka,KZ,50.565,72.5692,69.42,47,79,7.0,broken clouds
338,Puerto Narino,CO,-3.7703,-70.3831,76.96,96,99,1.81,overcast clouds
339,Derazhnya,UA,49.2692,27.4338,58.89,65,100,15.01,overcast clouds
340,Mayumba,GA,-3.432,10.6554,81.12,83,64,9.78,light rain
341,Xacmaz,AZ,41.4635,48.806,74.25,50,2,7.45,clear sky
342,Belmonte,BR,-15.8631,-38.8828,77.88,84,96,10.11,overcast clouds
343,Joensuu,FI,62.6012,29.7632,59.49,36,0,11.5,clear sky
344,Maua,BR,-23.6678,-46.4614,73.08,69,2,4.88,clear sky
345,Bandarbeyla,SO,9.4942,50.8122,86.04,70,3,21.79,clear sky
346,Oksfjord,NO,70.2396,22.3479,48.27,99,100,6.26,overcast clouds
