City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
204,Pokhara,NP,76.35,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
206,Amapa,BR,81.14,overcast clouds,1.0,-52.0,
207,Takoradi,GH,85.14,broken clouds,4.8845,-1.7554,Raybow International Hotel
208,Havelock,US,69.75,broken clouds,34.8791,-76.9013,Sherwood Motel
209,Nouadhibou,MR,72.21,overcast clouds,20.931,-17.0347,El Medina
210,Muravlenko,RU,61.99,scattered clouds,63.7898,74.523,Hostel Rus Muravlenko
211,Monastyrshchina,RU,54.52,light rain,54.3496,31.838,
212,Aden,YE,88.7,broken clouds,12.7794,45.0367,Sama Emirate Hotel
213,Sur,OM,86.76,clear sky,22.5667,59.5289,Sur Plaza Hotel
214,Kursk,RU,66.4,clear sky,51.7303,36.1939,"Gostinitsa Avrora, Kursk"
215,Dwarka,IN,84.7,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
216,Zdvinsk,RU,64.11,few clouds,54.7021,78.661,Hotel Siberia
217,Cockburn Town,TC,79.36,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
218,Tobane,BW,83.62,clear sky,-21.95,27.9,Mediterranean Deep Hotels
219,Cotonou,BJ,87.78,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
220,Mirandopolis,BR,81.52,clear sky,-21.1336,-51.1017,Hotel Piriquitu's
223,Saldanha,ZA,69.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
224,Jalu,LY,82.24,clear sky,29.0331,21.5482,صاحبة الفخامة
225,Derzhavinsk,KZ,60.39,overcast clouds,51.1,66.3167,Ooo.khim Baza
226,Senanga,ZM,85.53,clear sky,-16.1167,23.2667,Zango lodge
227,Bell Ville,AR,59.81,broken clouds,-32.6259,-62.6887,Hotel Central
228,Colombo,LK,80.55,light rain,6.9319,79.8478,Galle Face Hotel
230,Longonjo,AO,82.27,scattered clouds,-12.9067,15.2533,
231,Tarnogskiy Gorodok,RU,44.08,overcast clouds,60.4997,43.5761,Hotel Rus
232,Kambove,CD,74.23,clear sky,-10.8764,26.5969,Couvant des soeurs catholiques
234,Lagoa,PT,61.34,overcast clouds,39.05,-27.9833,Casa Das Faias
235,Torbat-E Jam,IR,64.72,broken clouds,35.244,60.6225,White building
236,Klaksvik,FO,49.12,overcast clouds,62.2266,-6.589,Airbnb rooms
237,Maragogi,BR,83.01,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
240,Goderich,CA,71.92,clear sky,43.7501,-81.7165,Harmony Inn
241,Roccastrada,IT,79.09,clear sky,43.0099,11.1665,La Melosa Resort & Spa
242,Muros,ES,84.69,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
243,Matara,LK,77.79,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
244,Mogadishu,SO,87.67,few clouds,2.0371,45.3438,Hotel Juba
245,Troitsko-Pechorsk,RU,48.52,moderate rain,62.7084,56.1964,Pechora Gostinitsa
246,Tanga,TZ,82.54,broken clouds,-5.0667,39.1,Lulu Image Hotel
247,Ancud,CL,50.14,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
248,Isla Mujeres,MX,78.17,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
249,Aranda De Duero,ES,70.12,light rain,41.6704,-3.6892,Hotel Villa de Aranda
252,Reconquista,AR,62.08,overcast clouds,-29.15,-59.65,Grand Hotel
253,Namibe,AO,75.83,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
254,Mumford,GH,84.29,overcast clouds,5.2618,-0.759,Spanish Villa
255,Bud,US,77.9,few clouds,39.447,-86.1758,Ted McQuinn Trust
256,Surok,RU,56.75,light rain,56.4469,48.1214,Lesnaya Skazka
257,Butajira,ET,81.19,broken clouds,8.1167,38.3667,እናት መናፈሻ ( Enat Menafesha)
258,Leshukonskoye,RU,59.32,light rain,64.8989,45.7622,Pryalitsa Hostel
259,Bardiyah,LY,72.03,clear sky,31.7561,25.0865,بورتو بردية
260,Skjervoy,NO,46.4,overcast clouds,70.0311,20.9714,Skjervøy fiskecamp AS
261,Halifax,CA,73.4,few clouds,44.6453,-63.5724,Hotel Halifax and Hotel Barrington
262,Areosa,PT,72.07,few clouds,41.7178,-8.8571,Hotel Flôr de Sal
263,Galle,LK,78.42,overcast clouds,6.0367,80.217,Amangalla
264,Mehamn,NO,42.71,broken clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
266,Lebu,CL,50.72,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
267,Aparecida Do Taboado,BR,83.46,clear sky,-20.0867,-51.0936,Aritana
268,Berlevag,NO,42.75,scattered clouds,70.8578,29.0864,Kvitbrakka
269,Alta Floresta,BR,87.62,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
270,El Cope,PA,74.32,overcast clouds,8.6167,-80.6,Hostal Buena Esperanza
271,Lunel,FR,81.55,clear sky,43.6778,4.1361,Hôtel Kyriad Montpellier est Lunel
274,Ornskoldsvik,SE,56.35,scattered clouds,63.2909,18.7153,ファーストホテル スタット
275,Suzun,RU,68.67,light rain,53.7841,82.3116,Akhpkhakhakhakha
276,Marrakesh,MA,86.07,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
277,Mahanje,TZ,73.31,broken clouds,-9.9333,35.3333,
279,Rocha,UY,62.94,clear sky,-34.4833,-54.3333,Hotel Arrarte
280,Ciro Marina,IT,82.27,scattered clouds,39.3732,17.126,Hotel Miramare
281,Maarianhamina,AX,53.46,few clouds,60.0973,19.9348,Park Alandia Hotel
282,Puerto Del Rosario,ES,73.15,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
283,Luanda,AO,82.4,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
284,Tucupita,VE,87.58,scattered clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
285,Gazanjyk,TM,78.04,clear sky,39.2446,55.5154,Railway motel
286,Rio Grande,BR,58.95,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
288,Quatre Cocos,MU,77.11,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
289,Jaciara,BR,86.27,few clouds,-15.9653,-54.9683,Taba Hotel
